"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","39/952","273/10563",0.142857142857143,1.58508403361345,3.08247206921017,0.00254629562236187,0.0156944402905577,0.0122806985040228,"54405/28080/68197/22272/78330/12861/12390/12858/18708/26427/227197/11951/12868/67264/66445/228033/66916/66694/66218/66945/11950/66046/66108/17706/12866/66142/17705/69875/12259/17720/66152/17719/75406/17711/230075/17708/17709/12279/17710",39
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism","12/952","54/10563",0.222222222222222,2.4656862745098,3.39832156885037,0.00262233818345912,0.01587451150344,0.0124216019216485,"67432/56454/14718/209027/69051/18263/66054/20810/56752/11669/212647/67092",12
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","10/952","41/10563",0.24390243902439,2.70624103299857,3.44500953890989,0.00284019697663099,0.0168916978083843,0.0132175371765653,"14081/67547/68428/22041/22042/14319/50790/14854/18174/71775",10
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer","14/952","69/10563",0.202898550724638,2.25127877237852,3.28182455033411,0.0029733372851426,0.017378643787299,0.0135985661679843,"68263/20539/18641/19713/18597/11651/15277/18708/14381/228026/16828/26395/18648/14380",14
"Metabolism","Amino acid metabolism","mmu00270","Cysteine and methionine metabolism","12/952","55/10563",0.218181818181818,2.42085561497326,3.32489953875195,0.00308522314154929,0.0177269600844951,0.0138711192091065,"14711/100470/17449/14718/20810/12036/210808/16828/56369/14854/108645/107869",12
"Metabolism","Glycan biosynthesis and metabolism","mmu00514","Other types of O-glycan biosynthesis","10/952","43/10563",0.232558139534884,2.58036935704514,3.2680765842592,0.00411961055197439,0.0232757996186553,0.0182130150718868,"20440/14595/14423/171212/230145/26433/59048/108150/19719/20441",10
"Metabolism","Carbohydrate metabolism","mmu00562","Inositol phosphate metabolism","14/952","72/10563",0.194444444444444,2.15747549019608,3.10153634919189,0.00446286190342578,0.0248018063157596,0.0194070957664072,"103199/234515/104776/77116/114663/16330/18711/228550/18796/19062/170835/240752/17330/18719",14
"Metabolism","Metabolism of cofactors and vitamins","mmu00670","One carbon pool by folate","9/952","37/10563",0.243243243243243,2.69892686804452,3.25800038264832,0.00464634780038334,0.0254050307149992,0.0198791111323702,"104174/14711/192166/107747/68133/13382/216188/108645/107869",9
"Metabolism","Carbohydrate metabolism","mmu00052","Galactose metabolism","8/952","33/10563",0.242424242424242,2.68983957219251,3.0598175240385,0.00763620151800665,0.0410900367397501,0.0321524274442385,"14595/18641/16770/74246/15277/12091/216558/319625",8
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","25/952","167/10563",0.149700598802395,1.66101620288834,2.70984513690338,0.00784750029503583,0.0415672281252679,0.0325258235912669,"108079/97998/67474/11651/17966/245860/18708/19744/207565/12176/13033/52440/19324/26395/100502841/70231/74498/100502698/242557/67841/353047/666468/52639/641340/67790",25
