"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"171530",1002,"Ucn2",4.1974483826931,1.48419408914429,2.90171297214629,0.114674281159105,0.185921404922104
"668662",1886,"Gm9292",1.0451385623024,-0.191896214572193,2.87956356924184,0.114714098720024,0.185966713903464
"13872",2673,"Ercc3",0.220296590226344,4.6995930305601,2.87812719865889,0.114758042216957,0.186018701503377
"56835",1335,"Ctsr",1.80848313986513,1.34849342087217,2.93061829125637,0.114793928057462,0.186057618522519
"15441",3475,"Hp1bp3",0.165691277451216,6.66759169595176,2.87589426040985,0.114885201703515,0.186186290573719
"100503704",1531,"Gm16861",0.87950333163207,-0.342675094393343,2.87760246952536,0.114897955769739,0.18618769805865
"73919",1276,"Lyrm1",-0.440203222601289,1.38056668909276,2.87517466268861,0.114930300612643,0.186220848065479
"100271841",2270,"Uckl1os",-1.03855819813041,0.619765977369698,2.87466914905823,0.114977918095109,0.18627873481848
"66204",648,"Acyp1",0.37171120124421,2.77760090743619,2.87273743853046,0.115066362598669,0.1864027476844
"574418",2534,"Serinc4",0.351478157423068,1.66626525806262,2.86999336109358,0.115225298157944,0.186640915690642
"100310809",2002,"Gm10509",-0.80394425603471,0.158690220545935,2.86995218547469,0.115265712835971,0.186687075224926
"76373",3025,"Zfp773",-1.39890540150609,-1.66188710401282,2.81004727967818,0.11537411350874,0.18684332555716
"102954",1751,"Nudt10",2.03569210839782,0.258031788017778,2.82363872509851,0.115424852657229,0.186906172924902
"77633",2755,"4930594C11Rik",-0.393538807434749,2.4003066438001,2.86520089511354,0.115497866717104,0.187005073087694
"12069",902,"Bex2",1.59017141557706,0.0387519371867557,2.8505327021563,0.115541044821498,0.18704411757071
"319965",3286,"Cc2d1b",0.176136735720762,5.56359420081606,2.86434451320736,0.115545861840521,0.18704411757071
"71213",2858,"Cage1",0.628986625032783,1.53067556851515,2.86323051877388,0.115613941758202,0.187121247106432
"16420",5110,"Itgb6",0.372896282286223,2.83968247418673,2.86311386459221,0.115617398706873,0.187121247106432
"209224",3106,"Enox2",0.308638167443704,3.21465214113361,2.86238733728135,0.115658898715257,0.187169075245299
"106298",3598,"Rrn3",-0.178600476300148,5.57258438305133,2.86134191455734,0.115718379875613,0.187245989128342
"66079",1045,"Tmem42",-0.298902869669694,2.63084048114946,2.85911131456884,0.115847656126049,0.187435812147754
"319518",2904,"Pdpr",-0.246187051857101,3.34392780746344,2.85812579435982,0.1159040226772,0.187507643833351
"98660",6227,"Atp1a2",-2.03003795558338,1.27529606854858,2.82994563670348,0.116028239081373,0.187689215738301
"319582",1825,"Trmt9b",0.823374614634418,0.291619116085114,2.85554965487424,0.11609295686473,0.187774514123489
"21949",2228,"Tnfsf8",-3.91132727869427,0.490909558456578,2.79859931031719,0.116136376454843,0.187825349696997
"67382",5565,"Brd3",-0.2128298546398,5.33765006918991,2.85341266679456,0.116175501073449,0.187869229308928
"78651",3801,"Lsm6",-0.260149388204361,3.19740064500456,2.85249073635158,0.116229340230925,0.187936892518316
"93711",4692,"Pcdhga3",2.39577195937158,-0.515381954456754,2.80841495176794,0.116288106622597,0.18799471598027
"269295",1263,"Rtn4rl2",3.80757182951794,-1.45012762426788,2.81246759651533,0.11628910295875,0.18799471598027
"56530",1017,"Cnpy2",0.207924296169371,5.24031833223789,2.84914875597226,0.116422237854154,0.188190522751555
"212999",4990,"Tnpo2",0.157615592107473,6.51331168624376,2.84880818023491,0.116441960519941,0.188202983031868
"14468",2820,"Gbp2b",1.02151957530206,1.107758290775,2.8482742204827,0.116532442463554,0.188329795851808
"17389",4576,"Mmp16",0.467758489569954,1.8176506998312,2.82190145583581,0.116580943470029,0.188388743496802
"20356",10809,"Sema5a",-1.01273583058297,5.78555539727252,2.84523278261041,0.116679452573213,0.188528481130416
"16548",1117,"Khk",-0.512346822676115,3.43713532747291,2.84330588214175,0.116762236719008,0.188642784468158
"238023",2379,"Hexd",-0.273674252094499,2.99459292909992,2.84236853463521,0.116816568307143,0.188704847339166
"16450",4054,"Jag2",0.451851745049695,7.02881271161993,2.8422648000981,0.116824743663915,0.188704847339166
"56009",1273,"Alyref2",0.588948889025787,0.697654832877764,2.84105359973655,0.116905412173939,0.188815680142773
"223752",4447,"Gramd4",-0.345617250624599,4.31013606204409,2.83985165445633,0.116962843187549,0.188875380511661
"244238",3761,"Mrgpre",-1.65010648185602,-0.974986254436447,2.83624941004982,0.116966490031511,0.188875380511661
"666501",468,"Gm8137",1.54109393917767,-1.08573398748074,2.82519292063502,0.116994553739595,0.188901224936174
"72615",2483,"Anks3",-0.216998068087158,4.53126250676553,2.83897837010958,0.117013395005042,0.188912174869007
"72514",1756,"Fgfbp3",0.935959705036798,-0.537678979833864,2.83766201915604,0.117163868912263,0.189135614850638
"271144",3315,"Ankdd1b",-1.31084803602668,-0.872814675414166,2.8390457110223,0.117184489620907,0.189149410603969
"66118",1062,"Sarnp",0.339580077073712,3.22189358845061,2.83482756862126,0.117256344289568,0.189245892571201
"75482",726,"Hspb9",4.1974483826931,-1.21651224588777,2.85571543271797,0.117272758908082,0.189252886401062
"14115",4477,"Fbln2",-0.481302305726091,6.44777451492269,2.83302928241266,0.117361522642479,0.189376622599343
"15552",2908,"Htr1d",2.31859509319251,4.64560511944206,2.78723546711752,0.117396400092918,0.189413390406382
"50762",2149,"Fbxo6",-0.249972002810795,3.69267375938803,2.83016929557075,0.117529011191685,0.189607822895751
"328232",6654,"Gfod1",-0.32386492145824,4.06963116962611,2.82927252377453,0.117581334992544,0.189672702364145
"11688",3269,"Alox8",4.75435682218466,0.033135421517468,2.86272082065905,0.117613491950317,0.18969174505374
"76497",1679,"Ppp1r11",-0.220676445833292,4.38340822336528,2.8285698612718,0.117622276660258,0.18969174505374
"268747",4598,"Carmil3",1.58085382959734,0.829142541674222,2.80422784266928,0.117629467695629,0.18969174505374
"270198",3361,"Pfkfb4",-0.66192818176201,2.65120469774602,2.82830563548604,0.117644949598104,0.189697183268585
"110213",2803,"Tmbim6",-0.183629545064199,9.09096684697449,2.82776380101946,0.117669492071128,0.189717228622296
"68272",4186,"Rbm28",-0.212279709917568,5.5972719609453,2.82377141997134,0.117904180951913,0.190076051724989
"100503338",5060,"Gm14636",1.09693536743937,-0.984714047797468,2.8258607805366,0.117926750651826,0.190092873941228
"11848",2126,"Rhoa",0.163108879208764,7.80063185775095,2.82206456817402,0.118004681559785,0.190198923411259
"100041965",963,"Oaz1-ps",-0.163218764888313,8.33548680057574,2.8218017687572,0.118020165783775,0.190204310391238
"237465",3655,"Ccdc38",1.0748978799405,-0.122610049270842,2.82201600656989,0.118072876312164,0.190269684953199
"74519",1944,"Cyp2j9",-2.75875372312315,2.33443990969545,2.76742806900486,0.11814308821397,0.190363245923867
"171469",2253,"Gpr37l1",-3.91137776639232,-2.17807297707914,2.72651309759349,0.118270049262165,0.190548217802305
"67252",3658,"Cap2",3.27347874999658,2.44127405099573,2.80276365139251,0.118366988095546,0.190684786972103
"328968",1357,"Carmn",-2.44730030313144,2.24783933236955,2.7595252191203,0.118408154217843,0.190731489544732
"320207",4363,"Pik3r5",1.08397823409907,-0.846741409022858,2.8027077902588,0.118500765022195,0.190849101273598
"66590",1829,"Farsa",0.168198384095842,5.62237602191475,2.81358588054034,0.118505535147672,0.190849101273598
"66446",1037,"Exosc7",-0.283992337058768,3.24076051641016,2.81320156519286,0.1185288487064,0.190867024566792
"14734",2269,"Gpc3",-1.87956159499539,2.51313033789926,2.81011768759736,0.118548262145204,0.190878664457254
"16780",4055,"Lamb3",0.27201647096534,8.74501248854313,2.81242797868962,0.118574129043604,0.190900691826111
"21341",3255,"Taf1c",0.337368017233779,2.94457226482768,2.8110417760513,0.118657216249521,0.191014828131615
"56445",2839,"Dnaja2",0.169486777101169,7.34945662337255,2.80888601246568,0.118784285085568,0.191199735497886
"21407",932,"Tcf15",0.624608445615129,1.08966432154668,2.80601064232892,0.118969967846535,0.191478942393504
"235402",3295,"Lingo1",1.75774752905482,0.675825244072688,2.78126373214076,0.118991584062654,0.191494058387248
"83669",4092,"Wdr6",0.200439269540882,5.99697364223393,2.8034309052331,0.119108864670428,0.191659716803145
"546143",709,"Pierce2",0.484336245687235,1.65739163043739,2.80333460000569,0.119118991560512,0.191659716803145
"67563",2555,"Ciao3",-0.305977941827481,3.42740485713513,2.80284447899166,0.119144304206634,0.191680756433903
"11909",4277,"Atf2",-0.169442810369172,6.07451597437235,2.79748775762694,0.11946371861743,0.192174897529477
