"","B.lactating","B.pregnant","B.virgin","L.lactating","L.pregnant","L.virgin"
"54151",-10.0999783962728,-10.3475754712444,-10.5246401532128,-9.76945160222648,-9.91774275486662,-10.3927502279414
"16581",-11.0952220374563,-11.3699118635092,-11.4632229283546,-11.5202582829659,-11.299916963597,-11.5118761994199
"73062",-10.7596934458103,-10.8598536583855,-10.7230799344974,-10.5480670257073,-10.7448755267491,-10.4120025792577
"76282",-10.7921860438876,-10.8752347768469,-11.3771733290251,-10.8951772514762,-11.1186003362549,-11.4142097003536
"69572",-12.3733124411911,-12.5670639731739,-12.6300233006536,-12.6937234419734,-12.6904783532023,-12.8072851199834
"79456",-12.9483493174477,-12.2242395743509,-12.0639349908048,-11.6878116715184,-12.4061801411009,-12.4264140347894
"223664",-11.4928665862077,-11.7277217483671,-11.7454041382755,-11.692545845685,-12.0953256084125,-11.9026670915414
"378937",-13.5656293728301,-13.4117151880421,-13.7718304816177,-14.1792478068774,-14.2204542899576,-14.7110191684363
"223665",-12.2557439314709,-12.0194428209993,-12.4155043096289,-11.230790131968,-11.979865927854,-12.3113257058653
"223666",-11.0545726160107,-10.9892102707263,-10.3473593172897,-11.4750907950536,-11.2151814005263,-11.0236466750233
"71591",-11.8500123052191,-12.1340226939246,-11.8873155456254,-12.2166690905882,-13.1858461916649,-12.5500673455902
"223669",-11.239602956584,-11.5686554932009,-11.1072019777659,-11.230508391078,-10.5794805082433,-10.8155332750361
"66398",-12.6511499196028,-13.1373201809761,-13.1943430594556,-11.7739323977011,-12.2373156602691,-12.5550919254915
"26961",-7.67952805113014,-7.23644140432913,-7.14724788207017,-7.19869500098382,-6.92432483767527,-6.9820870926449
"239546",-14.3274100547143,-14.6883682404795,-13.9037360307367,-14.6666574579677,-15.1418662368611,-13.8830775783194
"117171",-11.596949571347,-11.7110087749329,-11.6364384547869,-11.7837305623553,-11.7912487522303,-11.500795729568
"17189",-11.9673735987564,-11.9000550852731,-13.2583790676377,-14.5017732664821,-12.131416943703,-12.642472443152
"71939",-12.7733507096007,-13.336284412426,-14.6295762529604,-10.2310433730865,-11.2896809479541,-13.6794645486843
"93686",-8.34737174485462,-8.58676685806578,-8.81593978002281,-9.69658415556563,-9.64601663989718,-9.6454536699165
"75761",-14.3276821434511,-14.272545182765,-15.5897924105567,-9.89977864742206,-11.5686761388896,-12.3164304694271
"223672",-16.4197595146634,-16.9231833040536,-17.5572787266476,-14.2959506877139,-15.1411357394391,-13.6515711049148
"328561",-10.240354695114,-10.052007997781,-11.7080066633412,-12.5117994092308,-13.943800228997,-14.8992880791388
"328563",-12.8742610616526,-12.77616226767,-14.5860273566557,-15.2623535872955,-17.3522895044433,-16.6622722707128
"666348",-15.3714648727763,-15.01799392063,-16.6255047770269,-13.8141649593738,-16.1176634794688,-17.0219363505306
"71898",-14.938670271414,-15.518523494009,-15.3936761388096,-13.5765150997399,-14.6021547209875,-13.0248960513446
"239552",-11.2342663577717,-11.4222841563844,-11.4063728450077,-14.3600506916148,-11.8683128472389,-12.606617991226
"17886",-7.17663601217106,-6.94201258536013,-6.86799375299573,-8.08615469864823,-7.02835685711507,-7.46360930629058
"56551",-9.98384720553169,-9.7783725265387,-9.88412814562151,-9.24999698154315,-9.25632454292923,-9.61737352653073
"239554",-11.2985228165067,-11.034266985145,-11.1276205195585,-10.6823272361518,-12.1390303958611,-11.7198540349723
"55944",-9.8947651746592,-9.60091038920116,-9.74731569797412,-9.56819850953073,-9.41601142991709,-9.50519220842472
"100504021",-13.3715760559478,-13.0173656799682,-13.0188513452548,-13.2458874707786,-12.9634741108075,-13.2315411596575
"67042",-12.0562870427637,-12.0176198221873,-12.0479991670121,-12.4511094559448,-12.4827911628241,-12.0792564238999
"12984",-12.6288056981785,-11.5654229719736,-9.8798341372824,-14.0262028307958,-13.2140436296753,-11.6059057088596
"12983",-11.9728278212085,-11.2172054056601,-9.8746842348541,-13.0859122241891,-13.2811710780694,-11.6009803607211
"22117",-12.4115733701734,-12.0139075459799,-11.6742464905707,-10.3666192399036,-10.6150309897972,-10.2351243272118
