"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"250",1892,"Acadl",2056,2311,2061,2341,1073,823,2018,2415,2506,3029,390,323
"251",4461,"Lancl1",997,1010,1070,1078,1034,993,831,834,449,379,256,225
"252",4257,"Erbb4",5,9,6,8,2,3,144,170,207,151,94,51
"253",9424,"Ikzf2",489,493,421,384,296,318,330,354,177,205,404,459
"254",5448,"Bard1",138,145,74,68,21,23,127,97,62,30,82,55
"255",8323,"Abca12",89,104,30,39,21,17,2,0,0,0,0,0
"256",2611,"Atic",1471,1034,1224,960,750,754,1655,1435,906,623,459,544
"257",8312,"Fn1",1566,1532,644,609,681,407,260,334,112,50,58,83
"258",2493,"Mreg",578,660,427,299,250,232,51,49,50,26,14,12
"259",1186,"Pecr",303,218,279,267,122,159,196,152,237,207,225,200
"260",2815,"Tmem169",7,9,13,11,16,24,0,0,0,0,0,0
"261",2556,"Xrcc5",1201,1178,1235,1172,976,932,558,521,418,434,416,380
"262",4187,"Marchf4",26,29,17,13,23,32,0,0,1,2,0,0
"263",6715,"Smarcal1",700,576,677,607,632,679,471,415,268,267,204,218
"264",588,"Rpl37a",221,224,249,181,127,131,296,289,203,190,87,96
"265",1330,"Igfbp2",6145,3737,28282,28554,26047,24688,17,21,51,57,23,25
"266",5854,"Igfbp5",87765,97798,106228,55364,39195,41658,55835,53177,21269,26327,8875,9295
"267",1560,"Pinc",64,83,101,87,93,79,107,121,114,157,221,219
"268",551,"D530049I02Rik",5,5,12,14,5,6,5,7,8,13,16,19
"269",9966,"Tns1",6490,5599,23002,27489,35649,32593,235,455,237,210,812,785
"270",2336,"Rufy4",93,94,184,134,64,60,19,28,13,11,13,6
"271",1597,"Arpc2",4717,4480,5435,5041,4903,4083,4520,5026,3942,4016,1652,1525
"272",1820,"Aamp",4434,4114,4602,3676,2925,2851,3805,4299,4336,3757,2252,2076
"273",3501,"Pnkd",523,533,793,702,841,809,360,389,372,323,178,180
"274",2309,"Tmbim1",3097,3179,3949,3734,3427,3095,4084,4610,5080,5236,2685,2790
"275",2101,"Catip",20,7,18,12,22,20,1,0,0,1,1,1
"276",2304,"Slc11a1",28,34,22,32,11,8,14,7,4,2,1,0
"277",2776,"Ctdsp1",1330,1054,1193,1110,1198,1238,1125,1080,902,815,536,496
"278",3117,"Vil1",17,29,26,27,16,12,2,6,3,5,2,3
"279",7196,"Usp37",1858,2023,1907,1800,1461,912,1371,1364,857,562,370,348
"280",3266,"Cnot9",797,697,560,441,426,479,911,967,659,409,395,457
"281",3121,"Plcd4",96,97,88,48,78,67,15,22,6,13,10,7
"282",7472,"Zfp142",1705,1448,1219,1038,1147,1069,723,808,575,449,185,183
"283",1829,"Bcs1l",250,223,265,243,187,198,335,343,338,274,164,177
"284",1475,"Rnf25",600,686,681,558,515,566,662,665,417,367,252,205
"285",5235,"Stk36",206,149,85,82,81,102,151,176,47,44,17,19
"286",4253,"Ttll4",972,739,748,492,370,315,1023,975,878,726,366,402
"287",1890,"Cyp27a1",129,157,171,156,202,195,15,12,8,0,0,4
"288",2832,"Prkag3",3,9,20,19,20,24,0,0,0,0,0,0
"289",2068,"Wnt6",761,651,1673,1799,2222,2350,11,4,3,1,2,2
"290",1962,"Wnt10a",2204,2086,1039,1163,1180,952,4,11,4,3,9,0
"291",860,"Nhej1",66,61,59,52,76,79,55,72,72,61,26,37
"292",2059,"Slc23a3",124,102,61,54,50,50,30,57,20,35,13,11
"293",2738,"Cnppd1",800,625,570,497,481,558,954,1124,1364,1550,632,592
"294",2557,"Retreg2",947,765,592,475,554,613,1600,1696,1298,1256,861,815
"295",1299,"Zfand2b",305,178,280,220,328,292,407,481,437,390,292,288
"296",2934,"Abcb6",385,303,397,355,248,252,313,348,515,469,463,462
"297",3764,"Atg9a",1019,832,1074,931,1010,1080,874,1079,1278,1172,1279,1320
"298",2764,"Ankzf1",233,182,159,118,180,218,372,389,302,217,175,200
"299",3451,"Glb1l",256,257,200,238,275,278,224,191,85,64,40,19
"300",2885,"Stk16",797,599,750,674,593,608,960,976,610,546,402,432
"301",2053,"Tuba4a",9211,6876,5306,4726,3718,3316,6493,5775,3203,2544,3699,4144
"302",3203,"Dnajb2",1001,1043,1291,1048,1316,1173,1356,1697,1309,1196,708,614
"303",3535,"Ptprn",21,31,34,41,39,37,31,29,14,23,5,3
"304",1946,"Dnpep",909,680,642,522,556,561,1284,1419,1179,1070,738,695
"305",2150,"Des",400,281,106,183,106,100,38,26,7,6,10,10
"306",11933,"Speg",1453,1272,3032,3282,4325,4425,175,214,34,43,39,46
"307",1528,"Gmppa",745,689,1084,1156,1145,1125,774,949,982,996,820,773
"308",2650,"Asic4",38,52,38,42,44,60,4,5,1,0,0,0
"309",3235,"Chpf",2341,2371,2446,2032,1484,1340,1148,1148,1438,1153,747,750
"310",2185,"Tmem198",318,277,241,249,217,189,73,80,57,41,71,81
"311",5770,"Obsl1",1268,1313,1521,1162,888,956,327,435,107,54,18,18
"312",1463,"Inha",72,81,167,171,134,158,87,114,27,11,17,11
"313",4458,"Stk11ip",534,383,289,307,297,374,694,838,490,617,267,265
"314",4441,"Slc4a3",1127,967,1516,1642,1413,1645,472,526,150,228,88,100
"315",6328,"Epha4",2683,2777,2688,1770,1366,1389,346,338,188,160,27,34
"316",2132,"Farsb",1085,780,944,784,678,591,1017,1005,837,609,792,779
"317",1206,"Mogat1",1,2,3,4,8,11,3,2,0,3,3,17
"318",3950,"Acsl3",3296,3153,2278,1930,1154,1030,3860,3254,2762,2568,684,677
"319",3981,"Utp14b",1001,858,907,724,492,485,570,521,481,472,141,167
"320",2463,"Kcne4",236,369,214,359,87,95,20,61,12,12,2,5
"321",2876,"Ap1s3",103,85,101,72,45,36,194,218,150,116,127,102
"322",4714,"Wdfy1",511,459,480,441,453,445,1039,1077,527,686,409,387
"323",1424,"Mrpl44",156,138,179,131,72,98,309,308,259,198,229,264
"324",2055,"Serpine2",355,358,398,276,177,150,49,50,46,49,30,12
"325",2764,"Cul3",4364,4387,5200,4481,3821,3289,3730,3877,3619,3445,1596,1611
"326",7303,"Dock10",91,135,51,42,39,36,23,22,94,47,5,1
"327",9163,"Irs1",1449,951,687,659,979,1222,1054,1121,182,199,760,1106
"328",3039,"Gm19537",6,1,1,2,2,4,5,15,1,3,10,16
"329",3757,"Rhbdd1",1195,978,1370,1483,1370,1346,1182,1116,531,532,394,390
"330",7808,"Col4a4",35,36,234,312,95,67,5,10,1,4,1,3
"331",8609,"Col4a3",32,92,298,320,156,109,8,5,1,3,0,0
"332",1866,"Mff",998,899,1218,1230,1225,1064,920,927,816,767,535,563
"333",654,"Gm17764",24,29,18,12,18,16,26,28,37,19,27,16
"334",3137,"Agfg1",1638,1710,2064,1728,1450,1210,2748,2803,4191,3811,1240,1183
"335",2974,"Slc19a3",25,32,29,52,56,67,14,11,0,2,0,0
"336",802,"Ccl20",10,0,22,5,2,0,26,26,310,249,161,178
"337",2667,"Pid1",39,38,74,86,93,87,3,5,0,2,0,0
"338",9632,"Trip12",5556,5488,5484,5520,6524,6285,4183,4650,4114,4530,2389,2349
"339",900,"Fbxo36",6,6,13,12,14,13,44,49,75,56,53,51
"340",2349,"Slc16a14",2,1,3,7,16,20,0,0,0,1,0,0
"341",1621,"Gm7609",14,10,5,7,1,5,6,13,3,4,3,3
"342",1073,"Gm2427",56,62,38,47,54,65,33,42,27,33,6,9
"343",1971,"Sp110",141,150,182,196,227,202,106,108,66,62,25,19
"344",2417,"Sp140",236,225,241,234,328,342,207,207,155,191,38,37
"345",2158,"Sp100",170,210,55,87,103,93,94,100,21,35,10,4
